Price,Close,High,Low,Open,Volume
11/4/2019,62.07387924,62.15825298,61.56282557,62.03289519,103272000
11/5/2019,61.98468399,62.24021082,61.78942307,61.96539478,79897600
11/6/2019,62.0112114,62.07147731,61.56042354,61.89791118,75864400
11/7/2019,62.72689438,62.949342,62.40773329,62.56006051,94940400
11/8/2019,62.89857101,62.97110428,62.10308849,62.54797637,69986400
11/11/2019,63.39665985,63.46193979,62.44884999,62.45368308,81821200
11/12/2019,63.33862686,63.53931454,63.08717327,63.23949314,87388800
11/13/2019,63.94551086,64.02046436,63.12343522,63.13794187,102734400
11/14/2019,63.50303268,64.04463398,63.37246545,63.7714131,89182800
11/15/2019,64.2574234,64.26225649,63.59250803,63.75450146,100206400
11/18/2019,64.58141327,64.66119986,63.88748464,64.26708524,86703200
11/19/2019,64.38555908,64.79901341,64.16795193,64.7748332,76167200
11/20/2019,63.63602066,64.33478235,62.96143181,64.20422247,106234400
11/21/2019,63.35071182,63.83428657,63.15002417,63.75691284,121395200
11/22/2019,63.29510498,63.63360586,63.06782424,63.49095218,65325200
11/25/2019,64.4048996,64.42182648,63.47401676,63.51995695,84020400
11/26/2019,63.90200424,64.59593301,63.46920266,64.54273948,105207600
11/27/2019,64.76033783,64.79419161,64.14861599,64.21389593,65235600
11/29/2019,64.61767578,64.79901631,64.29126135,64.46051546,46617600
12/2/2019,63.8705368,64.85944602,63.69886988,64.6224918,94487200
12/3/2019,62.73173904,62.75107879,61.96769003,62.45609789,114430400
12/4/2019,63.28543472,63.66504273,63.02914066,63.12344129,67181600
12/5/2019,64.21389008,64.28885095,63.52480194,63.78109597,74424400
12/6/2019,65.45426941,65.52438983,64.62977343,64.67330078,106075600
12/9/2019,64.53791046,65.47603958,64.05191532,65.28261257,128042400
12/10/2019,64.91506958,65.29951058,64.28158053,64.94408288,90420400
12/11/2019,65.46878052,65.5485745,64.9199257,64.99487922,78756800
12/12/2019,65.63559723,65.90156481,64.63460136,64.74582148,137310400
12/13/2019,66.52778625,66.56405288,65.50744337,65.63559036,133587600
12/16/2019,67.66661835,67.89148624,66.97027683,66.97510992,128186000
12/17/2019,67.79959106,68.12841832,67.4103096,67.59649058,114158400
12/18/2019,67.63758087,68.15984236,67.48767392,67.65208752,116028400
12/19/2019,67.70529175,67.98576596,67.44658489,67.57956498,98369200
12/20/2019,67.56506348,68.34119887,67.35228941,68.23965231,275978000
12/23/2019,68.66760254,68.72804937,67.78991334,67.8286002,98572000
12/24/2019,68.73287964,68.88279398,68.40647266,68.83443356,48478800
12/26/2019,70.09658051,70.11350739,68.83687032,68.86588362,93121200
12/27/2019,70.06997681,71.07823339,69.6637758,70.38913791,146266000
12/30/2019,70.48583984,70.76873427,68.96258261,69.98775853,144114400
12/31/2019,71.00086212,71.00811545,70.00227907,70.10141278,100805600
1/2/2020,72.62083435,72.68128119,71.3732107,71.62708447,135480400
1/3/2020,71.91480255,72.67643115,71.68994211,71.8471024,146322800
1/6/2020,72.48786163,72.5265485,70.78326337,71.03472434,118387200
1/7/2020,72.14694977,72.75383116,71.92692234,72.49753709,108872000
1/8/2020,73.30750275,73.60973692,71.84952541,71.84952541,132079200
1/9/2020,74.86463928,75.05806626,74.03531021,74.28676381,170108400
1/10/2020,75.03387451,75.59966348,74.53096001,75.09916183,140644800
1/13/2020,76.63690948,76.66350993,75.2321257,75.35060651,121532000
1/14/2020,75.60205841,76.78440196,75.47875189,76.57404817,161954400
